WIDTH,PATTERN,DEPTH,ROWS,BOARDERCOLOUR,BOARDERCOLOURLH,BOARDERCOLOURRH,ID,BASEHEIGHT,ISCHIALWIDTH,QTY,seqNum,LABEL,MATFOAM,ISCHIALRAD,SSSUBTRACTOR,VIGWEDGEHEIGHT,VIGWEDGEDEPTH,HEIGHT,ROWSCOUNT,COLCOUNT,TOPRADIUS,BOTTOMRADIUS,SIZE,W
20,1149-CUBES-10,20,5,099,,,1.00,,,1,test,test \n 1149 0SS \n 2020 \n CUBES,,,-0.5,,,,,,,,,
16,1149-CUBES-10,18,5,099,,,1.01,,,1,test,test \n 1149 0HC \n 1618 \n CUBES,,,0,,,,,,,,,
12,1149-CUBES-8,14,4,099,,,1.02,,,1,test,test \n 1149 0SC \n 1214 \n CUBES,,,0,,,,,,,,,
16,1255-XXXX-0SS-FIB,,,099,,,1.03,,,1,inner,inner \n 1255 0SS \n 1615 \n INNER,,,,,,15,4,5,11,6,1615,
,1102-1012-WSF-F,,,028,,,1.04,,,1,12.3,12.3 \n 1102 WSF \n ,,,,,,,,,,,,
,1102-1012-WSF-C,,,028,,,1.05,,,1,12.3,12.3 \n 1102 WSF \n ,,,,,,,,,,,,
